date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,0,0.0,8.7,2,71,03:26 PM,04:50 AM,08:22 AM,05:56 PM,-7,-2,3,-2,32,15,48,0.0,1023,5,10,247,20,20653
2015-01-02,8,3,0.0,8.7,3,78,04:13 PM,05:49 AM,08:23 AM,05:57 PM,-1,2,5,2,14,14,67,0.0,1026,8,10,233,8,20653
2015-01-03,9,4,0.0,3.5,2,85,05:03 PM,06:43 AM,08:23 AM,05:58 PM,3,3,6,3,17,65,82,1.3,1029,9,9,104,11,20653
2015-01-04,17,8,0.0,7.0,3,92,05:56 PM,07:34 AM,08:23 AM,05:59 PM,11,11,13,11,44,65,92,2.5,1015,17,10,224,24,20653
2015-01-05,6,-0,0.0,9.8,2,99,06:51 PM,08:19 AM,08:23 AM,06:00 PM,-4,-2,4,-2,37,8,58,0.7,1026,6,10,310,25,20653
2015-01-06,4,-2,0.4,9.8,1,95,07:46 PM,09:00 AM,08:23 AM,06:01 PM,-7,-4,-0,-4,16,39,61,0.5,1024,4,9,131,11,20653
2015-01-07,-1,-7,0.0,9.8,1,88,08:42 PM,09:37 AM,08:23 AM,06:01 PM,-10,-11,-3,-11,37,47,61,0.1,1022,-1,6,310,30,20653
2015-01-08,-5,-10,0.0,9.8,2,81,09:37 PM,10:10 AM,08:23 AM,06:02 PM,-17,-15,-7,-15,29,12,49,0.0,1032,-5,10,273,23,20653
2015-01-09,4,-3,0.0,9.8,1,74,10:32 PM,10:42 AM,08:23 AM,06:03 PM,-10,-7,-0,-7,34,23,48,0.0,1022,4,10,265,25,20653
2015-01-10,-3,-7,0.0,9.8,2,68,11:27 PM,11:12 AM,08:22 AM,06:04 PM,-13,-10,-4,-10,23,1,52,0.0,1034,-3,10,283,17,20653
2015-01-11,4,-3,0.0,9.8,2,61,No moonrise,11:42 AM,08:22 AM,06:05 PM,-6,-3,1,-3,20,23,62,0.0,1036,4,10,184,12,20653
2015-01-12,5,2,0.0,4.9,1,54,12:22 AM,12:12 PM,08:22 AM,06:06 PM,2,0,4,0,17,95,88,14.0,1026,5,7,243,10,20653
2015-01-13,0,-1,0.0,9.9,2,47,01:18 AM,12:44 PM,08:22 AM,06:07 PM,-3,-6,0,-6,32,34,76,2.7,1032,0,10,60,23,20653
2015-01-14,0,-3,1.4,4.9,1,41,02:15 AM,01:19 PM,08:22 AM,06:08 PM,-3,-7,-1,-7,25,92,87,3.9,1027,0,4,142,18,20653
2015-01-15,1,-2,0.0,9.9,2,34,03:14 AM,01:59 PM,08:21 AM,06:09 PM,-3,-4,-0,-4,17,21,81,0.0,1021,1,10,290,10,20653
2015-01-16,5,-1,0.0,9.9,2,27,04:14 AM,02:44 PM,08:21 AM,06:10 PM,-2,-2,2,-2,26,6,76,0.0,1018,5,10,283,15,20653
2015-01-17,2,-2,0.0,9.9,1,20,05:15 AM,03:36 PM,08:20 AM,06:11 PM,-7,-5,-0,-5,25,18,59,0.0,1027,2,10,104,16,20653
2015-01-18,7,3,0.0,6.6,2,13,06:13 AM,04:34 PM,08:20 AM,06:12 PM,4,2,5,2,25,71,93,28.0,1014,7,9,221,13,20653
2015-01-19,6,3,0.0,9.9,1,7,07:09 AM,05:39 PM,08:20 AM,06:13 PM,0,1,4,1,22,21,77,0.2,1015,6,10,247,12,20653
2015-01-20,7,2,0.0,9.9,2,0,08:01 AM,06:48 PM,08:19 AM,06:15 PM,0,2,4,2,14,33,73,0.0,1014,7,10,91,8,20653
2015-01-21,3,0,0.0,8.3,1,7,08:48 AM,07:59 PM,08:19 AM,06:16 PM,-1,-2,2,-2,19,63,84,2.7,1020,3,9,36,13,20653
2015-01-22,6,-0,0.0,10.0,2,14,09:31 AM,09:11 PM,08:18 AM,06:17 PM,-0,-0,3,-0,16,29,83,0.0,1025,6,10,264,10,20653
2015-01-23,5,1,0.0,8.3,1,20,10:11 AM,10:21 PM,08:17 AM,06:18 PM,-1,-0,3,-0,12,61,78,6.5,1024,5,10,215,8,20653
2015-01-24,4,2,0.0,8.3,1,27,10:49 AM,11:31 PM,08:17 AM,06:19 PM,1,-2,3,-2,35,68,89,11.9,1002,4,7,247,23,20653
2015-01-25,8,1,0.0,10.0,2,34,11:27 AM,No moonset,08:16 AM,06:20 PM,1,1,4,1,28,30,78,0.0,1011,8,10,222,15,20653
2015-01-26,5,0,0.0,6.7,1,41,12:05 PM,12:37 AM,08:16 AM,06:21 PM,2,-2,3,-2,38,87,88,3.6,1007,5,7,101,25,20653
2015-01-27,1,-2,0.0,5.0,1,48,12:44 PM,01:42 AM,08:15 AM,06:22 PM,-3,-7,-0,-7,42,97,83,1.6,1009,1,2,334,30,20653
2015-01-28,2,-4,0.0,10.1,2,54,01:27 PM,02:44 AM,08:14 AM,06:23 PM,-8,-8,-1,-8,38,11,62,0.0,1022,2,9,332,27,20653
2015-01-29,3,-2,0.0,6.7,1,61,02:11 PM,03:44 AM,08:13 AM,06:25 PM,-7,-4,1,-4,26,53,56,0.0,1024,3,10,188,17,20653
2015-01-30,4,-4,0.3,8.3,1,68,03:00 PM,04:39 AM,08:13 AM,06:26 PM,-4,-5,1,-5,49,58,67,1.1,1017,4,7,299,34,20653
2015-01-31,0,-6,0.0,10.2,2,75,03:51 PM,05:30 AM,08:12 AM,06:27 PM,-12,-10,-3,-10,33,11,51,0.0,1026,0,10,314,26,20653
2015-02-01,5,-1,0.0,8.3,1,81,04:44 PM,06:16 AM,08:11 AM,06:28 PM,-4,-2,2,-2,21,58,65,0.0,1022,5,10,144,13,20653
2015-02-02,11,-3,0.0,6.7,2,88,05:39 PM,06:59 AM,08:10 AM,06:29 PM,2,-1,5,-1,60,82,83,5.5,1005,11,6,262,37,20653
2015-02-03,1,-4,0.0,10.2,2,95,06:34 PM,07:37 AM,08:09 AM,06:30 PM,-11,-7,-2,-7,25,8,50,0.0,1026,1,10,277,18,20653
2015-02-04,8,-0,0.0,10.2,2,98,07:30 PM,08:12 AM,08:08 AM,06:31 PM,-3,-1,4,-1,38,20,63,0.0,1022,8,10,197,22,20653
2015-02-05,2,-4,0.0,10.3,1,92,08:24 PM,08:44 AM,08:07 AM,06:33 PM,-6,-7,-0,-7,47,25,66,0.0,1019,2,10,314,33,20653
2015-02-06,3,-6,0.0,10.3,2,85,09:20 PM,09:15 AM,08:06 AM,06:34 PM,-13,-7,-2,-7,27,14,41,0.0,1025,3,10,272,19,20653
2015-02-07,7,-1,0.0,10.3,2,78,10:14 PM,09:45 AM,08:05 AM,06:35 PM,-5,-0,3,-0,21,18,54,0.0,1020,7,10,197,12,20653
2015-02-08,13,4,0.0,10.3,3,71,11:09 PM,10:14 AM,08:04 AM,06:36 PM,4,5,8,5,25,13,77,0.0,1012,13,10,222,12,20653
2015-02-09,6,1,0.0,6.8,1,64,No moonrise,10:45 AM,08:03 AM,06:37 PM,2,1,5,1,27,69,86,3.8,1011,6,9,95,18,20653
2015-02-10,2,-1,0.1,5.2,1,58,12:05 AM,11:19 AM,08:02 AM,06:38 PM,-1,-6,1,-6,41,99,89,13.4,1015,2,6,11,29,20653
2015-02-11,3,-1,0.0,10.4,1,51,01:02 AM,11:55 AM,08:01 AM,06:39 PM,-3,-4,1,-4,26,39,74,0.0,1016,3,8,94,18,20653
2015-02-12,4,-3,0.7,5.2,1,44,02:00 AM,12:36 PM,08:00 AM,06:40 PM,-3,-4,1,-4,31,55,75,1.4,1012,4,8,270,21,20653
2015-02-13,-3,-7,0.0,10.8,1,37,02:58 AM,01:23 PM,07:59 AM,06:42 PM,-17,-13,-5,-13,30,5,41,0.0,1023,-3,10,300,24,20653
2015-02-14,5,-3,0.0,7.0,1,31,03:56 AM,02:16 PM,07:58 AM,06:43 PM,-10,-6,0,-6,44,53,47,2.6,1010,5,9,226,30,20653
2015-02-15,-7,-10,0.0,10.9,1,24,04:52 AM,03:17 PM,07:57 AM,06:44 PM,-17,-20,-9,-20,56,13,49,1.3,1019,-7,8,312,47,20653
2015-02-16,-8,-12,5.1,5.5,1,17,05:46 AM,04:22 PM,07:55 AM,06:45 PM,-15,-17,-10,-17,21,67,67,6.0,1026,-8,7,264,17,20653
2015-02-17,-4,-8,7.7,8.5,1,10,06:35 AM,05:33 PM,07:54 AM,06:46 PM,-8,-13,-6,-13,22,80,86,9.1,1014,-4,6,227,15,20653
2015-02-18,-2,-6,0.0,8.5,1,3,07:21 AM,06:44 PM,07:53 AM,06:47 PM,-7,-10,-4,-10,25,60,79,1.1,1012,-2,9,202,16,20653
2015-02-19,-9,-12,0.0,8.5,1,3,08:03 AM,07:57 PM,07:52 AM,06:48 PM,-14,-21,-11,-21,46,38,74,0.2,1018,-9,8,296,31,20653
2015-02-20,-9,-17,0.0,10.1,1,10,08:43 AM,09:10 PM,07:50 AM,06:49 PM,-16,-22,-13,-22,32,24,77,0.0,1031,-9,10,279,20,20653
2015-02-21,1,-11,0.0,7.0,1,17,09:23 AM,10:20 PM,07:49 AM,06:50 PM,-6,-11,-5,-11,27,60,87,6.5,1029,1,10,191,16,20653
2015-02-22,3,0,0.0,5.5,1,24,10:02 AM,11:29 PM,07:48 AM,06:51 PM,2,-1,2,-1,15,99,99,6.1,1022,3,6,275,8,20653
2015-02-23,0,-6,0.0,8.6,1,30,10:42 AM,No moonset,07:47 AM,06:53 PM,-5,-9,-2,-9,33,66,82,0.9,1027,0,5,219,22,20653
2015-02-24,-4,-10,0.0,10.1,1,37,11:25 AM,12:34 AM,07:45 AM,06:54 PM,-10,-12,-7,-12,18,26,75,0.0,1023,-4,10,118,13,20653
2015-02-25,2,-6,0.0,11.1,1,44,12:10 PM,01:36 AM,07:44 AM,06:55 PM,-5,-5,-2,-5,16,29,78,0.0,1014,2,10,223,9,20653
2015-02-26,-1,-4,2.8,7.1,1,51,12:58 PM,02:33 AM,07:43 AM,06:56 PM,-3,-6,-2,-6,23,78,90,5.5,1014,-1,5,56,15,20653
2015-02-27,-0,-6,0.3,7.1,1,58,01:48 PM,03:27 AM,07:41 AM,06:57 PM,-5,-7,-3,-7,17,73,88,0.3,1029,-0,9,226,10,20653
2015-02-28,-4,-8,0.0,11.2,2,64,02:40 PM,04:15 AM,07:40 AM,06:58 PM,-10,-11,-6,-11,15,29,77,0.0,1042,-4,10,173,9,20653
2015-03-01,-1,-7,0.0,5.6,1,71,03:35 PM,04:58 AM,07:38 AM,06:59 PM,-5,-6,-3,-6,11,80,86,3.0,1034,-1,8,146,6,20653
2015-03-02,3,-1,0.1,10.2,1,78,04:29 PM,05:38 AM,07:37 AM,07:00 PM,-0,-4,1,-4,31,52,91,0.3,1025,3,10,308,17,20653
2015-03-03,1,-3,0.0,5.8,1,85,05:24 PM,06:13 AM,07:36 AM,07:01 PM,-3,-5,-0,-5,25,64,83,1.3,1026,1,7,118,15,20653
2015-03-04,8,5,0.0,5.8,2,91,06:19 PM,06:46 AM,07:34 AM,07:02 PM,6,4,6,4,27,94,97,5.4,1013,8,6,178,13,20653
2015-03-05,2,-4,0.0,5.9,1,98,07:14 PM,07:17 AM,07:33 AM,07:03 PM,-1,-7,-0,-7,38,99,92,15.7,1021,2,5,135,25,20653
2015-03-06,-3,-9,0.0,11.6,2,95,08:08 PM,07:48 AM,07:31 AM,07:04 PM,-13,-13,-7,-13,22,1,63,0.3,1033,-3,10,207,16,20653
2015-03-07,5,-8,0.0,11.6,2,88,09:04 PM,08:17 AM,07:30 AM,07:05 PM,-6,-6,-1,-6,28,8,73,0.0,1026,5,10,222,14,20653
2015-03-08,8,2,0.0,11.6,3,82,09:59 PM,08:48 AM,07:28 AM,07:06 PM,3,1,5,1,27,15,87,0.0,1022,8,10,195,13,20653
2015-03-09,9,4,0.0,11.6,3,75,10:55 PM,09:21 AM,07:27 AM,07:07 PM,4,4,6,4,13,25,86,0.1,1023,9,10,163,6,20653
2015-03-10,11,5,0.0,10.2,2,68,11:52 PM,09:56 AM,07:25 AM,07:08 PM,3,5,8,5,24,49,74,0.1,1021,11,10,161,14,20653
2015-03-11,12,6,0.0,8.8,2,61,No moonrise,10:34 AM,07:24 AM,07:09 PM,4,7,9,7,24,60,75,0.0,1019,12,9,190,14,20653
