date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-1,0.0,8.7,2,71,03:23 PM,04:47 AM,08:19 AM,05:53 PM,-6,-2,3,-2,33,13,52,0.0,1023,5,10,246,18,21801
2015-01-02,8,2,0.0,8.7,3,78,04:09 PM,05:46 AM,08:19 AM,05:53 PM,-1,1,4,1,15,12,72,0.0,1026,8,10,266,8,21801
2015-01-03,10,3,0.0,3.5,2,85,04:59 PM,06:40 AM,08:20 AM,05:54 PM,4,4,7,4,19,65,83,3.3,1029,10,8,94,10,21801
2015-01-04,18,9,0.0,5.2,4,92,05:52 PM,07:31 AM,08:20 AM,05:55 PM,13,12,14,12,45,69,93,3.7,1015,18,10,225,26,21801
2015-01-05,6,-1,0.0,8.7,2,99,06:47 PM,08:16 AM,08:20 AM,05:56 PM,-3,-2,4,-2,35,9,62,0.0,1025,6,10,315,23,21801
2015-01-06,3,-2,0.7,5.2,1,95,07:43 PM,08:57 AM,08:20 AM,05:57 PM,-7,-5,-1,-5,17,46,63,0.8,1024,3,9,252,12,21801
2015-01-07,-1,-8,0.0,8.7,1,88,08:38 PM,09:34 AM,08:20 AM,05:58 PM,-12,-11,-4,-11,36,46,53,0.0,1021,-1,9,310,27,21801
2015-01-08,-6,-10,0.0,8.7,2,81,09:34 PM,10:07 AM,08:19 AM,05:59 PM,-18,-16,-8,-16,30,11,46,0.0,1032,-6,10,283,22,21801
2015-01-09,4,-3,0.0,9.8,2,74,10:28 PM,10:38 AM,08:19 AM,06:00 PM,-10,-6,-0,-6,36,21,48,0.0,1022,4,10,227,23,21801
2015-01-10,-4,-8,0.0,9.8,2,68,11:23 PM,11:09 AM,08:19 AM,06:01 PM,-14,-11,-5,-11,20,1,51,0.0,1033,-4,10,320,14,21801
2015-01-11,4,-5,0.0,9.8,2,61,No moonrise,11:38 AM,08:19 AM,06:02 PM,-7,-4,-0,-4,17,24,59,0.0,1037,4,10,173,10,21801
2015-01-12,9,3,0.0,4.9,2,54,12:18 AM,12:08 PM,08:19 AM,06:03 PM,4,2,5,2,17,96,93,16.4,1026,9,8,230,9,21801
2015-01-13,1,-1,0.0,8.3,1,47,01:14 AM,12:40 PM,08:19 AM,06:04 PM,-2,-5,1,-5,33,61,80,1.3,1031,1,10,59,22,21801
2015-01-14,2,-1,0.1,4.9,1,41,02:11 AM,01:16 PM,08:18 AM,06:05 PM,-0,-5,1,-5,29,95,93,20.4,1026,2,7,57,19,21801
2015-01-15,1,-4,0.0,9.9,1,34,03:11 AM,01:55 PM,08:18 AM,06:06 PM,-3,-6,-2,-6,18,32,88,0.0,1020,1,8,294,10,21801
2015-01-16,5,-2,0.0,9.9,2,27,04:11 AM,02:40 PM,08:18 AM,06:07 PM,-2,-4,1,-4,25,6,80,0.0,1018,5,10,280,14,21801
2015-01-17,2,-4,0.0,9.9,1,20,05:11 AM,03:32 PM,08:17 AM,06:08 PM,-8,-5,-1,-5,18,20,59,0.0,1027,2,10,137,11,21801
2015-01-18,11,4,0.0,5.0,2,13,06:10 AM,04:30 PM,08:17 AM,06:09 PM,5,3,7,3,28,79,93,47.6,1014,11,8,221,15,21801
2015-01-19,7,1,0.0,8.3,1,7,07:06 AM,05:35 PM,08:16 AM,06:10 PM,-0,0,3,0,20,30,77,0.1,1015,7,10,271,13,21801
2015-01-20,10,1,0.0,9.9,2,0,07:58 AM,06:44 PM,08:16 AM,06:11 PM,-1,3,5,3,11,34,68,0.0,1015,10,10,72,6,21801
2015-01-21,4,-1,0.0,6.6,1,7,08:45 AM,07:56 PM,08:15 AM,06:12 PM,-0,-3,2,-3,21,71,87,15.4,1019,4,9,114,14,21801
2015-01-22,5,-2,0.0,8.3,1,14,09:28 AM,09:07 PM,08:15 AM,06:13 PM,-1,-2,1,-2,15,60,88,0.1,1025,5,8,314,9,21801
2015-01-23,5,-1,0.0,10.0,1,20,10:08 AM,10:18 PM,08:14 AM,06:14 PM,-2,-0,2,-0,11,36,76,4.3,1025,5,9,210,6,21801
