date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-1,0.0,8.7,2,71,03:23 PM,04:48 AM,08:21 AM,05:53 PM,-8,-3,2,-3,31,14,49,0.0,1023,5,10,242,17,21643
2015-01-02,8,1,0.0,8.7,2,78,04:09 PM,05:47 AM,08:21 AM,05:54 PM,-2,0,3,0,16,10,68,0.0,1026,8,10,304,9,21643
2015-01-03,9,2,0.0,3.5,2,85,05:00 PM,06:42 AM,08:21 AM,05:55 PM,2,2,5,2,17,64,82,1.3,1029,9,9,97,9,21643
2015-01-04,17,8,0.0,5.2,3,92,05:53 PM,07:33 AM,08:21 AM,05:55 PM,12,11,13,11,38,68,93,2.7,1014,17,9,225,23,21643
2015-01-05,5,-2,0.0,8.7,1,99,06:47 PM,08:17 AM,08:21 AM,05:56 PM,-5,-3,3,-3,36,12,59,1.7,1025,5,10,306,24,21643
2015-01-06,1,-4,0.9,5.2,1,95,07:43 PM,08:58 AM,08:21 AM,05:57 PM,-8,-7,-2,-7,15,57,66,1.2,1025,1,9,249,10,21643
2015-01-07,-3,-9,0.0,8.7,1,88,08:39 PM,09:35 AM,08:21 AM,05:58 PM,-12,-13,-5,-13,37,34,58,0.0,1021,-3,10,304,27,21643
2015-01-08,-7,-11,0.0,8.7,2,81,09:34 PM,10:08 AM,08:21 AM,05:59 PM,-17,-17,-9,-17,30,12,53,0.0,1031,-7,10,271,20,21643
2015-01-09,2,-4,0.0,9.8,1,74,10:29 PM,10:40 AM,08:21 AM,06:00 PM,-10,-8,-2,-8,32,29,54,0.0,1022,2,9,264,20,21643
2015-01-10,-5,-9,0.0,9.8,2,68,11:24 PM,11:10 AM,08:21 AM,06:01 PM,-14,-13,-7,-13,21,1,58,0.0,1034,-5,10,292,14,21643
2015-01-11,4,-5,0.0,9.8,2,61,No moonrise,11:39 AM,08:21 AM,06:02 PM,-8,-5,-1,-5,20,29,60,0.0,1037,4,10,176,11,21643
2015-01-12,5,1,0.0,4.9,1,54,12:19 AM,12:09 PM,08:21 AM,06:03 PM,1,-1,3,-1,17,94,90,13.9,1026,5,7,214,10,21643
2015-01-13,-0,-3,0.0,9.8,1,47,01:16 AM,12:41 PM,08:20 AM,06:04 PM,-4,-7,-1,-7,30,25,76,2.7,1032,-0,10,149,20,21643
2015-01-14,2,-2,1.4,4.9,1,41,02:13 AM,01:16 PM,08:20 AM,06:05 PM,-3,-6,-1,-6,25,86,86,7.5,1027,2,6,60,17,21643
2015-01-15,1,-3,0.0,9.9,1,34,03:12 AM,01:56 PM,08:20 AM,06:06 PM,-4,-5,-1,-5,19,32,82,0.0,1020,1,10,292,11,21643
2015-01-16,5,-1,0.0,9.9,2,27,04:12 AM,02:40 PM,08:19 AM,06:07 PM,-3,-4,1,-4,31,9,74,0.0,1017,5,10,240,18,21643
2015-01-17,2,-4,0.0,9.9,1,20,05:13 AM,03:32 PM,08:19 AM,06:08 PM,-10,-6,-2,-6,19,20,55,0.0,1028,2,10,99,12,21643
2015-01-18,7,2,0.0,5.0,2,13,06:12 AM,04:30 PM,08:19 AM,06:09 PM,4,2,4,2,21,74,94,36.1,1014,7,8,197,10,21643
2015-01-19,6,1,0.0,9.9,2,7,07:08 AM,05:36 PM,08:18 AM,06:10 PM,-1,-0,3,-0,23,22,77,0.1,1014,6,10,273,14,21643
2015-01-20,8,1,0.0,9.9,3,0,07:59 AM,06:45 PM,08:18 AM,06:11 PM,-1,3,4,3,10,27,70,0.0,1015,8,10,151,5,21643
2015-01-21,3,-2,0.0,6.6,1,7,08:46 AM,07:57 PM,08:17 AM,06:12 PM,-2,-3,1,-3,18,61,84,4.5,1020,3,8,76,11,21643
2015-01-22,5,-2,0.0,9.9,1,14,09:29 AM,09:08 PM,08:17 AM,06:14 PM,-1,-2,1,-2,15,52,88,0.0,1025,5,8,269,9,21643
2015-01-23,4,-2,0.0,9.9,1,20,10:09 AM,10:19 PM,08:16 AM,06:15 PM,-2,-1,1,-1,11,50,79,5.9,1024,4,9,183,7,21643
2015-01-24,3,1,0.9,6.7,1,27,10:47 AM,11:28 PM,08:15 AM,06:16 PM,1,-3,2,-3,36,73,91,27.8,1002,3,8,207,23,21643
2015-01-25,8,1,0.0,10.0,3,34,11:24 AM,No moonset,08:15 AM,06:17 PM,0,0,4,0,25,33,77,0.0,1010,8,10,230,14,21643
2015-01-26,5,-0,0.0,5.0,1,41,12:02 PM,12:35 AM,08:14 AM,06:18 PM,1,-2,3,-2,39,89,88,4.8,1008,5,8,53,26,21643
2015-01-27,-0,-2,0.1,6.7,1,48,12:41 PM,01:40 AM,08:13 AM,06:19 PM,-4,-9,-2,-9,38,93,83,2.9,1008,-0,7,337,26,21643
2015-01-28,1,-6,0.0,10.1,2,54,01:24 PM,02:42 AM,08:13 AM,06:20 PM,-9,-10,-3,-10,35,14,64,0.0,1021,1,10,330,25,21643
2015-01-29,3,-4,0.0,6.7,1,61,02:08 PM,03:42 AM,08:12 AM,06:21 PM,-8,-5,-0,-5,22,57,59,0.2,1024,3,9,191,14,21643
2015-01-30,3,-6,1.1,8.3,1,68,02:56 PM,04:37 AM,08:11 AM,06:23 PM,-4,-6,1,-6,46,69,69,2.5,1016,3,7,296,31,21643
