date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,6,2,0.0,8.7,2,71,03:21 PM,04:45 AM,08:18 AM,05:51 PM,-5,-1,4,-1,38,11,53,0.0,1023,6,10,251,25,21811
2015-01-02,8,4,0.0,8.7,3,78,04:07 PM,05:44 AM,08:18 AM,05:52 PM,0,3,6,3,20,11,67,0.0,1026,8,10,308,12,21811
2015-01-03,11,6,0.0,3.5,2,85,04:57 PM,06:38 AM,08:18 AM,05:53 PM,5,5,8,5,22,65,80,4.7,1029,11,9,102,13,21811
2015-01-04,16,10,0.0,5.2,3,92,05:51 PM,07:29 AM,08:18 AM,05:54 PM,12,11,13,11,62,70,95,3.5,1015,16,10,225,32,21811
2015-01-05,6,0,0.0,8.7,2,99,06:45 PM,08:14 AM,08:18 AM,05:54 PM,-2,-1,5,-1,42,7,63,1.2,1025,6,10,313,30,21811
2015-01-06,3,-2,0.4,5.2,1,95,07:41 PM,08:55 AM,08:18 AM,05:55 PM,-6,-5,-0,-5,20,52,66,0.5,1024,3,9,244,15,21811
2015-01-07,0,-7,0.1,7.0,1,88,08:36 PM,09:32 AM,08:18 AM,05:56 PM,-9,-11,-3,-11,40,47,61,0.4,1021,0,5,310,34,21811
2015-01-08,-5,-9,0.0,8.7,1,81,09:32 PM,10:05 AM,08:18 AM,05:57 PM,-13,-15,-7,-15,33,15,61,0.4,1031,-5,9,288,28,21811
2015-01-09,4,-1,0.0,8.7,2,74,10:26 PM,10:37 AM,08:18 AM,05:58 PM,-7,-5,2,-5,43,22,53,0.0,1022,4,10,269,31,21811
2015-01-10,-3,-6,0.0,8.7,2,68,11:22 PM,11:07 AM,08:18 AM,05:59 PM,-11,-11,-4,-11,26,1,58,0.0,1033,-3,10,315,20,21811
2015-01-11,4,-3,0.0,9.8,2,61,No moonrise,11:37 AM,08:17 AM,06:00 PM,-7,-2,1,-2,16,24,56,0.0,1037,4,10,176,10,21811
2015-01-12,10,4,0.0,4.9,2,54,12:16 AM,12:07 PM,08:17 AM,06:01 PM,5,3,6,3,21,91,92,10.4,1026,10,9,231,12,21811
2015-01-13,2,1,0.0,6.6,1,47,01:13 AM,12:39 PM,08:17 AM,06:02 PM,-1,-4,2,-4,40,68,80,4.8,1030,2,5,63,29,21811
2015-01-14,4,1,0.0,4.9,1,41,02:10 AM,01:14 PM,08:17 AM,06:03 PM,1,-3,3,-3,36,95,91,25.2,1025,4,7,69,25,21811
2015-01-15,1,-1,0.0,9.9,1,34,03:09 AM,01:53 PM,08:16 AM,06:04 PM,-2,-5,-0,-5,23,34,85,0.0,1020,1,10,301,14,21811
2015-01-16,5,-0,0.0,9.9,2,27,04:09 AM,02:38 PM,08:16 AM,06:05 PM,-2,-3,2,-3,32,5,76,0.0,1017,5,10,289,19,21811
2015-01-17,1,-3,0.0,9.9,2,20,05:09 AM,03:30 PM,08:16 AM,06:06 PM,-8,-5,-0,-5,23,8,57,0.0,1027,1,10,130,15,21811
2015-01-18,12,5,0.0,6.6,2,13,06:08 AM,04:28 PM,08:15 AM,06:07 PM,6,4,7,4,40,76,91,14.3,1014,12,9,213,20,21811
2015-01-19,6,3,0.0,9.9,2,7,07:04 AM,05:34 PM,08:15 AM,06:08 PM,0,0,4,0,26,26,76,0.0,1014,6,10,280,16,21811
2015-01-20,8,3,0.0,9.9,2,0,07:56 AM,06:42 PM,08:14 AM,06:09 PM,-0,3,5,3,13,38,70,0.0,1015,8,10,73,7,21811
2015-01-21,5,1,0.0,6.6,1,7,08:43 AM,07:54 PM,08:14 AM,06:10 PM,1,-2,3,-2,26,72,86,14.0,1019,5,9,70,18,21811
2015-01-22,5,-0,0.0,8.3,1,14,09:26 AM,09:06 PM,08:13 AM,06:11 PM,0,-2,2,-2,20,56,86,0.1,1025,5,10,315,13,21811
2015-01-23,4,1,0.0,10.0,1,20,10:06 AM,10:16 PM,08:13 AM,06:13 PM,-2,-0,3,-0,14,38,73,2.8,1025,4,10,207,9,21811
2015-01-24,5,3,0.0,6.7,1,27,10:44 AM,11:25 PM,08:12 AM,06:14 PM,3,-1,4,-1,39,76,92,33.9,1001,5,8,210,25,21811
2015-01-25,8,2,0.0,10.0,3,34,11:22 AM,No moonset,08:11 AM,06:15 PM,1,1,5,1,28,16,76,0.0,1011,8,10,245,17,21811
2015-01-26,8,3,0.0,5.0,2,41,12:00 PM,12:32 AM,08:11 AM,06:16 PM,3,1,6,1,43,86,86,5.0,1006,8,9,60,27,21811
2015-01-27,1,-2,0.0,6.7,1,48,12:39 PM,01:37 AM,08:10 AM,06:17 PM,-3,-8,-1,-8,43,81,84,3.8,1007,1,3,337,32,21811
2015-01-28,1,-4,0.0,10.1,2,54,01:21 PM,02:39 AM,08:09 AM,06:18 PM,-8,-10,-2,-10,40,24,64,0.0,1020,1,9,332,30,21811
2015-01-29,2,-3,0.0,6.7,1,61,02:06 PM,03:38 AM,08:08 AM,06:19 PM,-7,-4,0,-4,22,52,61,0.0,1024,2,10,191,15,21811
2015-01-30,4,-4,0.0,8.3,1,68,02:54 PM,04:34 AM,08:08 AM,06:20 PM,-3,-5,2,-5,50,77,72,3.5,1016,4,5,296,35,21811
2015-01-31,-1,-7,0.0,10.2,2,75,03:46 PM,05:25 AM,08:07 AM,06:22 PM,-11,-12,-4,-12,43,7,58,0.0,1024,-1,10,316,33,21811
2015-02-01,4,-2,0.0,8.3,1,81,04:39 PM,06:11 AM,08:06 AM,06:23 PM,-5,-2,1,-2,18,47,63,0.0,1023,4,10,226,11,21811
2015-02-02,11,-3,0.0,5.1,2,88,05:34 PM,06:54 AM,08:05 AM,06:24 PM,3,-1,5,-1,62,77,85,5.5,1004,11,6,258,38,21811
2015-02-03,0,-4,0.0,10.2,2,95,06:29 PM,07:32 AM,08:04 AM,06:25 PM,-12,-8,-2,-8,26,8,49,0.0,1025,0,10,297,20,21811
2015-02-04,7,-0,0.0,10.2,2,98,07:24 PM,08:06 AM,08:03 AM,06:26 PM,-3,-1,3,-1,38,23,64,0.0,1023,7,10,200,23,21811
2015-02-05,3,-5,0.0,10.3,1,92,08:19 PM,08:39 AM,08:02 AM,06:27 PM,-4,-7,0,-7,45,25,73,0.0,1018,3,8,312,32,21811
2015-02-06,2,-6,0.0,10.3,2,85,09:14 PM,09:09 AM,08:01 AM,06:28 PM,-13,-9,-2,-9,28,10,44,0.0,1025,2,10,280,20,21811
2015-02-07,6,-1,0.0,10.3,2,78,10:09 PM,09:39 AM,08:00 AM,06:30 PM,-5,-1,3,-1,23,19,58,0.0,1020,6,10,210,13,21811
2015-02-08,11,4,0.0,10.7,3,71,11:04 PM,10:09 AM,07:59 AM,06:31 PM,4,4,7,4,27,9,79,0.0,1013,11,10,210,14,21811
2015-02-09,6,3,0.0,6.9,1,64,12:00 AM,10:40 AM,07:58 AM,06:32 PM,3,1,5,1,36,66,88,1.6,1011,6,10,75,23,21811
2015-02-10,2,0,0.3,5.4,1,58,No moonrise,11:13 AM,07:57 AM,06:33 PM,0,-5,1,-5,48,99,90,9.9,1013,2,7,17,34,21811
2015-02-11,3,-1,0.2,8.5,1,51,12:57 AM,11:50 AM,07:56 AM,06:34 PM,-2,-4,1,-4,30,55,78,0.3,1016,3,9,43,22,21811
2015-02-12,5,-3,0.0,7.0,1,44,01:55 AM,12:31 PM,07:55 AM,06:35 PM,-3,-4,1,-4,30,51,75,0.4,1012,5,9,269,21,21811
2015-02-13,-4,-8,0.0,10.8,2,37,02:53 AM,01:18 PM,07:54 AM,06:36 PM,-16,-14,-6,-14,35,3,47,0.0,1023,-4,10,315,28,21811
2015-02-14,5,-4,0.0,10.1,1,31,03:51 AM,02:11 PM,07:53 AM,06:37 PM,-9,-6,0,-6,45,39,52,2.8,1010,5,9,221,30,21811
2015-02-15,-8,-10,0.0,10.9,1,24,04:47 AM,03:11 PM,07:52 AM,06:39 PM,-15,-22,-9,-22,61,39,65,0.1,1016,-8,5,313,50,21811
2015-02-16,-7,-13,3.0,7.0,1,17,05:40 AM,04:17 PM,07:50 AM,06:40 PM,-15,-19,-10,-19,27,60,68,3.5,1025,-7,9,282,22,21811
2015-02-17,-5,-8,10.8,10.1,1,10,06:29 AM,05:27 PM,07:49 AM,06:41 PM,-7,-13,-6,-13,31,62,90,14.0,1013,-5,5,217,21,21811
