date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,4,-2,0.0,8.7,2,71,03:26 PM,04:53 AM,08:26 AM,05:55 PM,-12,-5,0,-5,25,15,41,0.0,1022,4,10,240,15,20794
2015-01-02,6,-0,0.0,8.7,2,78,04:12 PM,05:52 AM,08:27 AM,05:56 PM,-4,-1,3,-1,18,18,62,0.0,1026,6,10,292,10,20794
2015-01-03,6,1,0.0,3.5,1,85,05:02 PM,06:47 AM,08:27 AM,05:57 PM,0,-0,3,-0,15,65,81,2.1,1029,6,7,90,9,20794
2015-01-04,15,5,0.0,3.5,3,92,05:55 PM,07:38 AM,08:27 AM,05:58 PM,8,6,9,6,29,76,93,3.5,1013,15,7,229,17,20794
2015-01-05,2,-4,0.0,7.0,1,99,06:50 PM,08:22 AM,08:27 AM,05:59 PM,-8,-6,0,-6,36,13,57,0.2,1026,2,9,300,24,20794
2015-01-06,-1,-6,5.7,3.5,1,95,07:46 PM,09:03 AM,08:27 AM,05:59 PM,-9,-8,-4,-8,12,66,72,6.7,1024,-1,6,253,9,20794
2015-01-07,-6,-12,0.0,9.7,1,88,08:42 PM,09:40 AM,08:27 AM,06:00 PM,-12,-16,-7,-16,34,31,72,0.0,1022,-6,9,295,23,20794
2015-01-08,-8,-14,0.0,9.7,2,81,09:38 PM,10:13 AM,08:27 AM,06:01 PM,-15,-19,-11,-19,25,15,72,0.0,1031,-8,10,250,17,20794
2015-01-09,0,-7,0.0,9.8,1,74,10:33 PM,10:44 AM,08:26 AM,06:02 PM,-10,-11,-4,-11,29,38,63,0.0,1021,0,10,252,18,20794
2015-01-10,-3,-12,0.0,9.8,2,68,11:28 PM,11:14 AM,08:26 AM,06:03 PM,-14,-14,-8,-14,19,1,66,0.0,1034,-3,10,269,13,20794
2015-01-11,1,-7,0.0,9.8,2,61,No moonrise,11:43 AM,08:26 AM,06:04 PM,-8,-7,-3,-7,18,31,70,0.1,1036,1,10,177,10,20794
2015-01-12,2,0,0.0,4.9,1,54,12:23 AM,12:13 PM,08:26 AM,06:05 PM,-0,-3,1,-3,17,90,89,19.6,1026,2,6,189,10,20794
2015-01-13,-3,-6,0.0,9.8,2,47,01:20 AM,12:44 PM,08:26 AM,06:06 PM,-7,-10,-3,-10,26,29,77,0.0,1033,-3,10,64,17,20794
2015-01-14,-1,-5,1.0,4.9,1,41,02:18 AM,01:20 PM,08:25 AM,06:07 PM,-7,-8,-3,-8,15,82,74,1.3,1028,-1,7,64,11,20794
2015-01-15,3,-2,0.0,9.8,2,34,03:17 AM,01:58 PM,08:25 AM,06:08 PM,-5,-4,-0,-4,14,17,73,0.0,1021,3,10,287,10,20794
2015-01-16,6,-1,0.0,9.9,1,27,04:17 AM,02:43 PM,08:24 AM,06:09 PM,-4,-4,1,-4,28,18,69,0.0,1018,6,10,242,18,20794
2015-01-17,0,-4,0.0,9.9,1,20,05:18 AM,03:35 PM,08:24 AM,06:11 PM,-9,-6,-2,-6,19,24,56,0.0,1027,0,10,109,14,20794
2015-01-18,5,-0,0.0,6.6,1,13,06:17 AM,04:33 PM,08:24 AM,06:12 PM,1,-2,2,-2,21,57,93,22.8,1014,5,9,215,11,20794
2015-01-19,6,0,0.0,9.9,1,7,07:13 AM,05:39 PM,08:23 AM,06:13 PM,-1,-1,3,-1,22,29,79,0.0,1014,6,10,276,13,20794
2015-01-20,7,1,0.0,9.9,2,0,08:04 AM,06:48 PM,08:23 AM,06:14 PM,-0,2,3,2,8,30,77,0.0,1015,7,10,145,4,20794
2015-01-21,1,-2,2.0,5.0,1,7,08:51 AM,08:00 PM,08:22 AM,06:15 PM,-2,-3,0,-3,13,70,88,8.9,1020,1,6,86,8,20794
2015-01-22,4,-2,0.0,9.9,1,14,09:34 AM,09:12 PM,08:22 AM,06:16 PM,-1,-3,1,-3,18,40,89,0.1,1025,4,7,279,11,20794
2015-01-23,4,-1,0.0,8.3,1,20,10:13 AM,10:23 PM,08:21 AM,06:17 PM,-1,-2,1,-2,12,47,83,6.5,1024,4,9,186,8,20794
2015-01-24,3,0,0.0,8.3,1,27,10:51 AM,11:32 PM,08:20 AM,06:18 PM,0,-3,1,-3,27,68,92,25.6,1003,3,9,204,17,20794
2015-01-25,8,-1,0.0,8.3,1,34,11:28 AM,No moonset,08:20 AM,06:19 PM,1,0,3,0,20,53,83,1.2,1010,8,9,217,12,20794
2015-01-26,1,-3,1.2,5.0,1,41,12:05 PM,12:39 AM,08:19 AM,06:21 PM,-1,-7,-0,-7,31,100,92,9.2,1009,1,5,45,22,20794
2015-01-27,-0,-4,0.4,8.3,1,48,12:44 PM,01:45 AM,08:18 AM,06:22 PM,-4,-9,-2,-9,32,80,87,0.5,1010,-0,8,330,22,20794
2015-01-28,0,-8,0.0,10.1,2,54,01:26 PM,02:47 AM,08:17 AM,06:23 PM,-8,-12,-5,-12,32,10,75,0.0,1023,0,10,317,20,20794
2015-01-29,1,-6,1.7,6.7,1,61,02:11 PM,03:47 AM,08:17 AM,06:24 PM,-7,-7,-2,-7,23,56,68,2.0,1023,1,9,182,14,20794
2015-01-30,2,-8,0.0,8.3,1,68,02:59 PM,04:42 AM,08:16 AM,06:25 PM,-5,-8,-1,-8,42,42,75,0.2,1018,2,9,302,28,20794
2015-01-31,-2,-9,0.0,10.1,2,75,03:50 PM,05:34 AM,08:15 AM,06:26 PM,-11,-13,-6,-13,29,16,68,0.0,1026,-2,10,300,20,20794
2015-02-01,4,-5,0.0,8.3,1,81,04:44 PM,06:20 AM,08:14 AM,06:28 PM,-5,-4,-0,-4,17,59,71,2.4,1022,4,8,193,10,20794
2015-02-02,8,-6,0.0,6.7,1,88,05:39 PM,07:02 AM,08:13 AM,06:29 PM,-1,-5,1,-5,42,75,86,14.6,1005,8,8,258,25,20794
2015-02-03,0,-6,0.0,10.2,1,95,06:34 PM,07:40 AM,08:12 AM,06:30 PM,-12,-8,-3,-8,21,17,51,0.0,1026,0,10,263,15,20794
2015-02-04,7,-3,0.0,10.2,2,98,07:30 PM,08:14 AM,08:11 AM,06:31 PM,-4,-2,2,-2,23,26,65,0.0,1021,7,10,183,13,20794
2015-02-05,-2,-7,0.0,10.2,1,92,08:25 PM,08:46 AM,08:10 AM,06:32 PM,-8,-10,-3,-10,37,20,66,0.0,1020,-2,9,319,26,20794
2015-02-06,3,-8,0.0,10.3,2,85,09:21 PM,09:17 AM,08:09 AM,06:34 PM,-15,-8,-3,-8,18,11,42,0.0,1025,3,10,262,13,20794
2015-02-07,7,-2,0.0,10.3,2,78,10:16 PM,09:46 AM,08:08 AM,06:35 PM,-7,-1,2,-1,17,29,52,0.0,1019,7,10,181,10,20794
2015-02-08,12,2,0.0,10.0,2,71,11:11 PM,10:15 AM,08:07 AM,06:36 PM,2,4,6,4,14,43,74,0.0,1012,12,10,157,7,20794
2015-02-09,3,-1,0.0,5.2,1,64,No moonrise,10:46 AM,08:06 AM,06:37 PM,0,-3,2,-3,23,91,88,0.6,1012,3,8,48,16,20794
2015-02-10,2,-1,2.0,5.2,1,58,12:07 AM,11:19 AM,08:05 AM,06:38 PM,-3,-6,0,-6,31,82,82,2.3,1017,2,7,11,22,20794
2015-02-11,5,-3,0.0,10.4,2,51,01:05 AM,11:55 AM,08:04 AM,06:39 PM,-6,-4,0,-4,17,14,65,0.0,1017,5,10,200,12,20794
2015-02-12,5,-6,0.0,8.4,1,44,02:03 AM,12:36 PM,08:03 AM,06:41 PM,-6,-6,-0,-6,31,36,68,0.5,1012,5,8,276,22,20794
2015-02-13,-3,-10,0.0,10.4,2,37,03:02 AM,01:23 PM,08:02 AM,06:42 PM,-18,-14,-7,-14,25,15,42,0.0,1023,-3,10,291,20,20794
2015-02-14,5,-7,0.0,8.4,1,31,04:00 AM,02:15 PM,08:00 AM,06:43 PM,-14,-9,-2,-9,30,58,43,0.5,1009,5,8,224,22,20794
2015-02-15,-10,-13,0.0,10.9,2,24,04:56 AM,03:16 PM,07:59 AM,06:44 PM,-19,-24,-12,-24,52,13,55,0.0,1020,-10,9,309,40,20794
2015-02-16,-8,-16,3.7,7.0,1,17,05:49 AM,04:22 PM,07:58 AM,06:45 PM,-17,-19,-12,-19,17,61,68,4.4,1026,-8,7,262,13,20794
2015-02-17,-4,-10,8.5,10.1,1,10,06:38 AM,05:33 PM,07:57 AM,06:46 PM,-10,-13,-8,-13,12,67,89,10.0,1014,-4,7,198,9,20794
2015-02-18,-3,-10,0.8,8.5,1,3,07:23 AM,06:45 PM,07:55 AM,06:47 PM,-9,-12,-6,-12,20,49,81,1.3,1012,-3,8,215,12,20794
2015-02-19,-10,-15,0.0,8.5,1,3,08:05 AM,07:58 PM,07:54 AM,06:49 PM,-15,-22,-12,-22,39,48,79,0.1,1018,-10,9,289,24,20794
2015-02-20,-9,-19,0.0,11.0,2,10,08:45 AM,09:11 PM,07:53 AM,06:50 PM,-17,-23,-15,-23,25,19,81,0.0,1030,-9,10,266,15,20794
2015-02-21,-0,-14,0.0,7.0,1,17,09:24 AM,10:22 PM,07:52 AM,06:51 PM,-8,-14,-7,-14,30,76,93,23.0,1028,-0,6,184,18,20794
2015-02-22,2,1,0.0,5.5,1,24,10:02 AM,11:31 PM,07:50 AM,06:52 PM,1,-1,1,-1,12,100,99,3.2,1022,2,3,220,6,20794
2015-02-23,-4,-11,0.1,10.1,1,30,10:42 AM,No moonset,07:49 AM,06:53 PM,-8,-13,-5,-13,31,47,83,0.3,1029,-4,6,339,20,20794
2015-02-24,-6,-14,0.0,10.1,1,37,11:25 AM,12:37 AM,07:48 AM,06:54 PM,-12,-15,-10,-15,17,26,83,0.0,1023,-6,10,116,11,20794
2015-02-25,2,-8,0.0,11.1,2,44,12:09 PM,01:39 AM,07:46 AM,06:55 PM,-5,-6,-3,-6,15,33,86,0.0,1013,2,9,242,8,20794
2015-02-26,0,-5,4.3,8.6,1,51,12:57 PM,02:37 AM,07:45 AM,06:56 PM,-4,-7,-3,-7,18,80,91,5.1,1015,0,6,96,12,20794
2015-02-27,-3,-7,1.3,5.6,1,58,01:48 PM,03:30 AM,07:43 AM,06:57 PM,-7,-10,-5,-10,17,74,88,1.5,1030,-3,6,274,11,20794
2015-02-28,-3,-12,0.0,11.2,2,64,02:40 PM,04:18 AM,07:42 AM,06:58 PM,-12,-13,-8,-13,14,15,77,0.0,1042,-3,10,150,8,20794
2015-03-01,-1,-8,0.7,5.8,1,71,03:34 PM,05:01 AM,07:41 AM,07:00 PM,-5,-8,-4,-8,15,82,92,8.0,1034,-1,6,173,10,20794
2015-03-02,1,-4,0.0,10.2,1,78,04:29 PM,05:40 AM,07:39 AM,07:01 PM,-2,-6,-1,-6,27,43,91,0.1,1025,1,9,300,15,20794
2015-03-03,1,-6,0.1,5.8,1,85,05:24 PM,06:15 AM,07:38 AM,07:02 PM,-4,-8,-3,-8,24,74,87,3.3,1025,1,9,154,15,20794
2015-03-04,4,2,0.0,5.8,1,91,06:19 PM,06:48 AM,07:36 AM,07:03 PM,3,1,3,1,17,88,98,8.7,1013,4,6,182,9,20794
2015-03-05,-1,-6,7.7,5.8,1,98,07:15 PM,07:19 AM,07:35 AM,07:04 PM,-3,-9,-2,-9,28,94,93,19.8,1023,-1,6,306,19,20794
2015-03-06,-1,-15,0.0,11.6,2,95,08:10 PM,07:49 AM,07:33 AM,07:05 PM,-12,-15,-9,-15,16,1,82,0.0,1034,-1,10,229,9,20794
2015-03-07,3,-10,0.0,11.6,2,88,09:06 PM,08:18 AM,07:32 AM,07:06 PM,-4,-7,-3,-7,24,24,88,0.1,1025,3,10,217,13,20794
2015-03-08,8,1,0.0,11.6,2,82,10:01 PM,08:49 AM,07:30 AM,07:07 PM,2,1,4,1,20,39,90,0.0,1021,8,10,241,10,20794
2015-03-09,11,1,0.0,11.6,2,75,10:58 PM,09:21 AM,07:29 AM,07:08 PM,3,4,5,4,11,39,89,0.2,1023,11,9,120,6,20794
2015-03-10,11,3,0.0,8.8,2,68,11:55 PM,09:56 AM,07:27 AM,07:09 PM,2,5,7,5,21,56,73,1.5,1021,11,10,165,13,20794
2015-03-11,12,4,0.0,8.8,2,61,No moonrise,10:34 AM,07:25 AM,07:10 PM,3,6,8,6,21,62,74,0.1,1018,12,9,215,13,20794
2015-03-12,10,4,0.0,11.6,2,54,12:52 AM,11:18 AM,07:24 AM,07:11 PM,3,4,7,4,24,52,75,2.0,1016,10,9,204,16,20794
2015-03-13,9,3,0.0,8.8,2,48,01:49 AM,12:06 PM,07:22 AM,07:12 PM,1,3,6,3,24,62,74,1.5,1016,9,9,199,16,20794
2015-03-14,9,3,0.0,11.6,2,41,02:44 AM,01:01 PM,07:21 AM,07:13 PM,1,3,6,3,23,56,75,1.5,1015,9,9,202,16,20794
2015-03-15,10,3,0.0,10.2,2,34,03:37 AM,02:02 PM,07:19 AM,07:14 PM,3,4,7,4,21,62,77,0.2,1014,10,9,228,14,20794
2015-03-16,10,4,0.0,8.8,2,27,04:25 AM,03:09 PM,07:18 AM,07:15 PM,3,4,7,4,19,64,79,1.4,1017,10,9,195,13,20794
2015-03-17,10,2,0.0,8.8,2,21,05:11 AM,04:18 PM,07:16 AM,07:16 PM,2,5,7,5,16,59,75,0.6,1021,10,9,183,10,20794
2015-03-18,12,4,0.0,8.8,2,14,05:54 AM,05:31 PM,07:14 AM,07:17 PM,4,7,9,7,18,61,76,0.9,1019,12,9,187,12,20794
2015-03-19,9,2,0.0,11.6,3,7,06:35 AM,06:43 PM,07:13 AM,07:18 PM,-2,3,5,3,15,41,62,0.8,1025,9,10,111,10,20794
2015-03-20,2,1,0.0,6.0,1,0,07:15 AM,07:56 PM,07:11 AM,07:19 PM,0,-3,2,-3,23,97,91,20.4,1022,2,8,114,15,20794
2015-03-21,11,-2,0.0,10.2,2,7,07:54 AM,09:08 PM,07:10 AM,07:20 PM,3,2,4,2,13,45,90,0.1,1018,11,9,244,7,20794
2015-03-22,8,-1,0.0,11.6,2,13,08:34 AM,10:17 PM,07:08 AM,07:21 PM,-1,-1,3,-1,24,7,72,0.0,1021,8,10,337,15,20794
2015-03-23,8,-3,0.0,11.6,2,20,09:17 AM,11:24 PM,07:06 AM,07:22 PM,-8,-2,2,-2,17,30,51,0.0,1025,8,10,39,11,20794
2015-03-24,6,1,0.0,8.8,1,27,10:03 AM,No moonset,07:05 AM,07:23 PM,-5,0,3,0,11,50,58,0.0,1027,6,10,73,8,20794
2015-03-25,8,0,0.0,6.1,1,34,10:51 AM,12:26 AM,07:03 AM,07:24 PM,-1,1,4,1,15,81,70,0.3,1026,8,9,150,10,20794
2015-03-26,20,8,0.0,7.5,4,40,11:42 AM,01:23 AM,07:02 AM,07:25 PM,11,11,13,11,28,82,90,4.3,1010,20,10,227,17,20794
2015-03-27,7,4,0.0,6.1,2,47,12:34 PM,02:14 AM,07:00 AM,07:26 PM,2,2,6,2,22,85,78,11.7,1009,7,8,259,15,20794
2015-03-28,2,-3,0.0,10.3,1,54,01:29 PM,02:59 AM,06:58 AM,07:27 PM,-8,-7,-0,-7,35,44,56,0.1,1017,2,9,316,25,20794
2015-03-29,9,-4,0.0,11.6,2,61,02:23 PM,03:40 AM,06:57 AM,07:28 PM,-11,-4,1,-4,22,6,42,0.0,1026,9,10,269,15,20794
2015-03-30,12,3,0.0,10.3,2,67,03:19 PM,04:16 AM,06:55 AM,07:29 PM,0,3,7,3,32,47,65,2.5,1014,12,9,250,20,20794
2015-03-31,16,4,0.0,11.6,3,74,04:13 PM,04:50 AM,06:54 AM,07:30 PM,4,6,9,6,31,20,75,11.0,1010,16,9,245,18,20794
2015-04-01,12,1,0.0,11.6,3,81,05:09 PM,05:21 AM,06:52 AM,07:31 PM,0,3,6,3,20,7,67,0.0,1020,12,10,267,13,20794
2015-04-02,18,4,0.0,9.0,3,88,06:04 PM,05:51 AM,06:51 AM,07:32 PM,6,9,11,9,37,36,69,0.2,1021,18,9,196,23,20794
2015-04-03,18,15,0.0,7.7,4,95,06:59 PM,06:21 AM,06:49 AM,07:33 PM,14,16,16,16,35,68,88,8.4,1010,18,10,217,19,20794
2015-04-04,11,7,0.0,11.6,2,100,07:56 PM,06:51 AM,06:47 AM,07:34 PM,3,7,10,7,43,12,63,6.5,1015,11,10,299,28,20794
2015-04-05,16,4,0.0,11.6,4,92,08:52 PM,07:23 AM,06:46 AM,07:35 PM,2,8,10,8,31,9,58,0.0,1024,16,10,218,19,20794
2015-04-06,21,7,0.0,11.6,5,85,09:50 PM,07:57 AM,06:44 AM,07:36 PM,7,13,14,13,26,9,67,0.0,1023,21,10,198,15,20794
2015-04-07,22,13,0.0,9.0,4,78,10:47 PM,08:34 AM,06:43 AM,07:37 PM,14,16,17,16,23,56,84,5.3,1021,22,10,172,14,20794
2015-04-08,9,5,0.0,6.5,2,72,11:44 PM,09:16 AM,06:41 AM,07:38 PM,6,4,7,4,25,97,90,4.5,1023,9,6,67,19,20794
2015-04-09,8,5,0.0,6.5,2,65,No moonrise,10:03 AM,06:40 AM,07:39 PM,4,3,6,3,17,94,87,1.1,1024,8,10,84,12,20794
2015-04-10,18,6,0.0,9.1,3,58,12:39 AM,10:55 AM,06:38 AM,07:40 PM,10,10,12,10,20,67,90,9.4,1014,18,9,168,13,20794
2015-04-11,15,9,0.0,11.6,4,51,01:31 AM,11:53 AM,06:37 AM,07:41 PM,5,10,12,10,30,12,67,0.0,1019,15,10,311,18,20794
