date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,2,-8,0.0,9.7,2,71,03:33 PM,05:03 AM,08:36 AM,06:02 PM,-17,-10,-4,-10,31,15,37,0.0,1022,2,10,260,20,21502
2015-01-02,4,-6,0.0,9.7,2,78,04:19 PM,06:02 AM,08:36 AM,06:02 PM,-7,-6,-2,-6,18,12,68,0.0,1026,4,10,282,11,21502
2015-01-03,2,-5,0.0,4.8,1,85,05:09 PM,06:56 AM,08:36 AM,06:03 PM,-3,-5,-1,-5,17,77,86,3.9,1026,2,7,137,10,21502
2015-01-04,14,3,0.0,9.7,3,92,06:02 PM,07:47 AM,08:36 AM,06:04 PM,7,5,8,5,38,53,90,5.7,1012,14,10,234,22,21502
2015-01-05,-4,-7,0.0,9.7,1,99,06:57 PM,08:32 AM,08:36 AM,06:05 PM,-13,-12,-4,-12,37,24,53,0.0,1028,-4,8,293,28,21502
2015-01-06,-3,-10,6.8,8.2,1,95,07:54 PM,09:12 AM,08:36 AM,06:06 PM,-10,-11,-6,-11,15,73,76,8.0,1024,-3,5,242,11,21502
2015-01-07,-9,-16,0.1,6.5,1,88,08:50 PM,09:49 AM,08:36 AM,06:07 PM,-15,-21,-11,-21,36,55,72,0.3,1025,-9,7,297,26,21502
2015-01-08,-9,-18,0.0,9.7,1,81,09:46 PM,10:21 AM,08:36 AM,06:08 PM,-17,-21,-13,-21,20,42,75,0.0,1031,-9,10,243,14,21502
2015-01-09,-4,-12,0.8,6.5,1,74,10:41 PM,10:52 AM,08:36 AM,06:09 PM,-11,-15,-7,-15,28,58,76,1.3,1021,-4,5,255,19,21502
2015-01-10,-8,-18,0.0,9.7,2,68,11:37 PM,11:22 AM,08:36 AM,06:10 PM,-17,-21,-13,-21,17,13,76,0.0,1035,-8,10,256,11,21502
2015-01-11,1,-15,0.0,9.8,1,61,No moonrise,11:51 AM,08:35 AM,06:11 PM,-12,-10,-6,-10,16,48,63,0.2,1034,1,9,183,8,21502
2015-01-12,7,-2,0.0,4.9,1,54,12:32 AM,12:20 PM,08:35 AM,06:12 PM,0,-2,1,-2,17,85,93,4.0,1026,7,5,218,10,21502
2015-01-13,-3,-7,0.1,9.8,1,47,01:29 AM,12:52 PM,08:35 AM,06:13 PM,-7,-9,-5,-9,16,32,83,0.3,1034,-3,10,134,11,21502
2015-01-14,1,-7,0.0,6.6,1,41,02:27 AM,01:27 PM,08:34 AM,06:14 PM,-9,-6,-4,-6,7,81,70,0.0,1028,1,10,180,5,21502
2015-01-15,3,-6,0.0,9.8,2,34,03:26 AM,02:06 PM,08:34 AM,06:15 PM,-7,-6,-3,-6,12,19,72,0.0,1021,3,10,271,7,21502
2015-01-16,2,-5,0.4,4.9,1,27,04:26 AM,02:50 PM,08:34 AM,06:16 PM,-6,-8,-2,-8,25,51,76,0.5,1019,2,8,293,16,21502
2015-01-17,3,-8,0.0,9.8,1,20,05:28 AM,03:42 PM,08:33 AM,06:17 PM,-6,-6,-4,-6,9,48,82,0.0,1024,3,8,118,6,21502
2015-01-18,5,-4,0.0,9.9,1,13,06:26 AM,04:40 PM,08:33 AM,06:18 PM,-1,-2,0,-2,14,49,92,0.6,1013,5,6,209,8,21502
2015-01-19,4,-5,0.2,8.3,1,7,07:22 AM,05:46 PM,08:32 AM,06:19 PM,-4,-5,-1,-5,18,62,84,0.3,1015,4,8,288,11,21502
2015-01-20,8,-5,0.0,9.9,1,0,08:13 AM,06:55 PM,08:32 AM,06:21 PM,-3,-2,-1,-2,4,44,89,1.4,1015,8,5,177,2,21502
2015-01-21,4,-5,0.4,6.6,1,7,09:00 AM,08:07 PM,08:31 AM,06:22 PM,-2,-3,-1,-3,8,73,95,3.2,1019,4,4,175,5,21502
2015-01-22,3,-5,0.3,6.6,1,14,09:42 AM,09:20 PM,08:31 AM,06:23 PM,-3,-5,-2,-5,17,56,90,0.4,1026,3,6,291,10,21502
2015-01-23,4,-6,0.0,6.6,1,20,10:21 AM,10:31 PM,08:30 AM,06:24 PM,-2,-2,-1,-2,7,49,92,4.9,1023,4,5,176,5,21502
