date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-0,0.0,8.7,2,71,03:26 PM,04:50 AM,08:23 AM,05:56 PM,-8,-2,3,-2,31,15,47,0.0,1023,5,10,247,19,20688
2015-01-02,8,2,0.0,8.7,3,78,04:12 PM,05:49 AM,08:23 AM,05:57 PM,-1,2,5,2,14,14,67,0.0,1026,8,10,232,8,20688
2015-01-03,9,4,0.0,3.5,2,85,05:03 PM,06:44 AM,08:23 AM,05:58 PM,3,3,6,3,17,68,82,1.5,1029,9,9,105,10,20688
2015-01-04,17,8,0.0,7.0,3,92,05:56 PM,07:34 AM,08:23 AM,05:59 PM,11,11,13,11,42,66,92,4.4,1014,17,10,225,23,20688
2015-01-05,5,-1,0.0,8.7,2,99,06:50 PM,08:19 AM,08:23 AM,05:59 PM,-4,-2,3,-2,37,8,57,0.0,1026,5,10,309,25,20688
2015-01-06,4,-2,1.0,9.8,1,95,07:46 PM,09:00 AM,08:23 AM,06:00 PM,-7,-4,-0,-4,16,42,61,1.2,1024,4,8,176,11,20688
2015-01-07,-1,-7,0.0,9.8,1,88,08:42 PM,09:37 AM,08:23 AM,06:01 PM,-10,-11,-3,-11,36,44,62,0.1,1022,-1,9,309,30,20688
2015-01-08,-5,-10,0.0,9.8,2,81,09:37 PM,10:11 AM,08:23 AM,06:02 PM,-17,-15,-7,-15,29,12,49,0.1,1032,-5,10,271,23,20688
2015-01-09,4,-4,0.0,9.8,1,74,10:32 PM,10:42 AM,08:23 AM,06:03 PM,-10,-7,-0,-7,34,25,48,0.0,1022,4,10,264,24,20688
2015-01-10,-3,-7,0.0,9.8,2,68,11:27 PM,11:12 AM,08:23 AM,06:04 PM,-13,-10,-4,-10,23,1,52,0.0,1034,-3,10,283,17,20688
2015-01-11,4,-3,0.0,9.8,2,61,No moonrise,11:42 AM,08:22 AM,06:05 PM,-6,-3,1,-3,20,22,62,0.0,1036,4,10,185,12,20688
2015-01-12,5,2,0.0,4.9,1,54,12:22 AM,12:12 PM,08:22 AM,06:06 PM,1,0,4,0,17,95,87,25.5,1026,5,7,244,10,20688
2015-01-13,0,-2,0.0,9.9,1,47,01:18 AM,12:44 PM,08:22 AM,06:07 PM,-4,-6,0,-6,31,26,75,4.9,1032,0,9,60,22,20688
2015-01-14,0,-3,2.3,4.9,1,41,02:15 AM,01:19 PM,08:22 AM,06:08 PM,-3,-7,-1,-7,24,93,86,5.0,1027,0,6,141,18,20688
2015-01-15,1,-2,0.0,9.9,2,34,03:14 AM,01:59 PM,08:21 AM,06:09 PM,-3,-4,-0,-4,17,21,81,0.0,1021,1,10,243,10,20688
2015-01-16,5,-1,0.0,9.9,2,27,04:14 AM,02:43 PM,08:21 AM,06:10 PM,-2,-2,2,-2,26,7,76,0.0,1018,5,10,282,15,20688
2015-01-17,1,-2,0.0,9.9,1,20,05:15 AM,03:35 PM,08:21 AM,06:11 PM,-7,-5,-0,-5,26,21,59,0.0,1027,1,10,105,17,20688
2015-01-18,7,3,0.0,6.6,2,13,06:13 AM,04:34 PM,08:20 AM,06:12 PM,4,1,5,1,25,68,93,64.7,1014,7,7,224,13,20688
2015-01-19,7,3,0.0,9.9,1,7,07:10 AM,05:39 PM,08:20 AM,06:13 PM,0,1,4,1,22,23,77,0.0,1015,7,10,246,12,20688
