date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-1,0.0,8.7,2,71,03:23 PM,04:49 AM,08:22 AM,05:53 PM,-9,-3,2,-3,30,14,48,0.0,1023,5,10,241,17,21625
2015-01-02,8,1,0.0,8.7,2,78,04:09 PM,05:48 AM,08:22 AM,05:54 PM,-2,0,4,0,16,10,66,0.0,1026,8,10,302,9,21625
2015-01-03,9,2,0.0,5.2,2,85,05:00 PM,06:43 AM,08:23 AM,05:54 PM,2,2,5,2,16,58,81,1.0,1029,9,9,95,9,21625
2015-01-04,17,7,0.0,5.2,3,92,05:53 PM,07:34 AM,08:23 AM,05:55 PM,11,10,12,10,37,74,92,3.0,1014,17,9,224,22,21625
2015-01-05,5,-2,0.0,8.7,2,99,06:47 PM,08:18 AM,08:23 AM,05:56 PM,-6,-3,2,-3,36,12,57,1.3,1025,5,10,305,24,21625
2015-01-06,1,-4,1.1,3.5,1,95,07:43 PM,08:59 AM,08:23 AM,05:57 PM,-8,-7,-3,-7,14,56,67,1.4,1025,1,9,209,10,21625
2015-01-07,-4,-9,0.0,8.7,1,88,08:39 PM,09:36 AM,08:23 AM,05:58 PM,-11,-13,-5,-13,38,37,62,0.0,1022,-4,9,304,27,21625
2015-01-08,-7,-12,0.0,8.7,2,81,09:35 PM,10:09 AM,08:22 AM,05:59 PM,-16,-17,-9,-17,29,14,58,0.0,1032,-7,10,266,20,21625
2015-01-09,2,-5,0.0,9.8,1,74,10:29 PM,10:40 AM,08:22 AM,06:00 PM,-10,-9,-2,-9,32,34,56,0.0,1022,2,10,262,20,21625
2015-01-10,-5,-10,0.0,9.8,2,68,11:25 PM,11:10 AM,08:22 AM,06:01 PM,-14,-13,-7,-13,21,1,60,0.0,1034,-5,10,274,14,21625
2015-01-11,3,-5,0.0,9.8,2,61,No moonrise,11:40 AM,08:22 AM,06:02 PM,-7,-5,-1,-5,20,30,62,0.0,1037,3,10,175,11,21625
2015-01-12,4,1,0.0,4.9,1,54,12:20 AM,12:10 PM,08:22 AM,06:03 PM,1,-1,2,-1,17,94,88,16.9,1026,4,7,216,10,21625
2015-01-13,-1,-3,0.1,9.8,1,47,01:17 AM,12:41 PM,08:21 AM,06:04 PM,-5,-7,-1,-7,29,23,74,1.7,1032,-1,9,59,19,21625
2015-01-14,1,-4,0.7,4.9,1,41,02:14 AM,01:17 PM,08:21 AM,06:05 PM,-4,-7,-2,-7,23,82,81,2.5,1027,1,6,61,16,21625
2015-01-15,1,-2,0.0,9.9,2,34,03:13 AM,01:56 PM,08:21 AM,06:06 PM,-4,-4,-0,-4,19,30,78,0.0,1020,1,10,294,12,21625
2015-01-16,6,-0,0.0,9.9,2,27,04:13 AM,02:40 PM,08:20 AM,06:07 PM,-3,-3,2,-3,32,12,71,0.0,1018,6,10,243,19,21625
2015-01-17,1,-4,0.0,9.9,1,20,05:14 AM,03:32 PM,08:20 AM,06:08 PM,-10,-6,-1,-6,21,18,54,0.0,1027,1,10,104,13,21625
2015-01-18,5,2,0.0,6.6,1,13,06:13 AM,04:31 PM,08:20 AM,06:09 PM,3,1,4,1,22,67,94,47.3,1014,5,8,216,11,21625
2015-01-19,6,2,0.0,9.9,2,7,07:09 AM,05:36 PM,08:19 AM,06:10 PM,-0,0,4,0,23,19,76,0.0,1014,6,10,275,14,21625
2015-01-20,8,1,0.0,9.9,3,0,08:00 AM,06:45 PM,08:19 AM,06:11 PM,-1,3,4,3,10,25,71,0.0,1015,8,10,151,5,21625
2015-01-21,2,-2,0.0,6.6,1,7,08:47 AM,07:57 PM,08:18 AM,06:12 PM,-2,-3,1,-3,17,59,83,2.6,1020,2,9,38,11,21625
2015-01-22,5,-2,0.0,10.0,2,14,09:30 AM,09:09 PM,08:18 AM,06:14 PM,-1,-2,1,-2,15,42,87,0.0,1025,5,9,271,9,21625
2015-01-23,4,-1,0.0,8.3,1,20,10:09 AM,10:19 PM,08:17 AM,06:15 PM,-2,-1,1,-1,12,41,79,6.6,1024,4,9,189,8,21625
2015-01-24,4,1,0.0,8.3,1,27,10:47 AM,11:29 PM,08:16 AM,06:16 PM,1,-3,2,-3,35,71,89,18.8,1002,4,8,208,23,21625
2015-01-25,8,1,0.0,10.0,2,34,11:25 AM,No moonset,08:16 AM,06:17 PM,1,1,4,1,26,37,76,0.0,1010,8,10,227,15,21625
2015-01-26,4,-1,0.0,5.0,1,41,12:02 PM,12:36 AM,08:15 AM,06:18 PM,1,-4,2,-4,37,92,89,3.9,1008,4,8,51,26,21625
2015-01-27,-0,-2,0.0,6.7,1,48,12:41 PM,01:41 AM,08:14 AM,06:19 PM,-4,-8,-1,-8,38,82,82,1.3,1009,-0,5,337,27,21625
2015-01-28,1,-6,0.0,10.1,2,54,01:24 PM,02:43 AM,08:14 AM,06:20 PM,-9,-10,-3,-10,37,11,65,0.0,1021,1,10,331,25,21625
