date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-1,0.0,8.7,2,71,03:25 PM,04:52 AM,08:25 AM,05:54 PM,-10,-3,1,-3,29,15,44,0.0,1022,5,10,242,17,21411
2015-01-02,7,1,0.0,8.7,2,78,04:11 PM,05:51 AM,08:25 AM,05:55 PM,-3,0,4,0,19,8,62,0.0,1026,7,10,297,10,21411
2015-01-03,8,2,0.0,5.2,2,85,05:01 PM,06:45 AM,08:25 AM,05:56 PM,1,1,4,1,16,63,80,1.0,1029,8,8,92,9,21411
2015-01-04,16,7,0.0,3.5,3,92,05:55 PM,07:36 AM,08:25 AM,05:57 PM,10,8,11,8,35,76,92,2.4,1014,16,8,228,21,21411
2015-01-05,4,-2,0.0,7.0,1,99,06:49 PM,08:21 AM,08:25 AM,05:58 PM,-6,-4,2,-4,37,13,56,0.1,1026,4,9,301,26,21411
2015-01-06,0,-5,1.8,5.2,1,95,07:45 PM,09:02 AM,08:25 AM,05:59 PM,-8,-7,-3,-7,14,59,70,2.1,1025,0,8,211,9,21411
2015-01-07,-5,-10,0.0,9.8,1,88,08:41 PM,09:38 AM,08:25 AM,06:00 PM,-11,-14,-6,-14,39,39,70,0.0,1022,-5,8,300,27,21411
2015-01-08,-7,-12,0.0,9.8,2,81,09:37 PM,10:11 AM,08:25 AM,06:01 PM,-15,-18,-10,-18,29,16,67,0.0,1032,-7,9,259,20,21411
2015-01-09,1,-5,0.0,9.8,1,74,10:32 PM,10:42 AM,08:25 AM,06:02 PM,-9,-9,-2,-9,34,35,60,0.0,1022,1,10,257,21,21411
2015-01-10,-5,-10,0.0,9.8,2,68,11:27 PM,11:12 AM,08:24 AM,06:03 PM,-13,-13,-7,-13,23,0,65,0.0,1034,-5,10,271,15,21411
