date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,0,0.0,8.7,2,71,03:23 PM,04:47 AM,08:19 AM,05:53 PM,-6,-1,3,-1,34,14,51,0.0,1023,5,10,249,20,21853
2015-01-02,8,3,0.0,8.7,3,78,04:10 PM,05:46 AM,08:19 AM,05:54 PM,-0,2,5,2,15,14,71,0.0,1026,8,10,229,8,21853
2015-01-03,10,4,0.0,5.2,2,85,05:00 PM,06:40 AM,08:19 AM,05:55 PM,4,4,7,4,19,60,82,2.7,1029,10,8,94,11,21853
2015-01-04,17,9,0.0,8.7,4,92,05:53 PM,07:31 AM,08:20 AM,05:56 PM,12,12,14,12,49,65,93,4.6,1015,17,10,223,27,21853
2015-01-05,6,-0,0.0,8.7,2,99,06:47 PM,08:16 AM,08:20 AM,05:57 PM,-3,-1,4,-1,37,8,61,0.0,1025,6,10,316,24,21853
2015-01-06,4,-2,0.3,7.0,1,95,07:43 PM,08:57 AM,08:20 AM,05:58 PM,-7,-4,-0,-4,18,43,62,0.6,1024,4,9,125,13,21853
2015-01-07,-1,-7,0.0,5.2,1,88,08:39 PM,09:34 AM,08:20 AM,05:59 PM,-11,-11,-3,-11,37,52,56,0.0,1021,-1,6,313,28,21853
2015-01-08,-5,-10,0.0,9.8,1,81,09:34 PM,10:07 AM,08:19 AM,06:00 PM,-16,-15,-7,-15,31,15,49,0.1,1032,-5,9,283,23,21853
2015-01-09,4,-2,0.0,9.8,2,74,10:29 PM,10:39 AM,08:19 AM,06:00 PM,-9,-6,0,-6,38,22,49,0.0,1022,4,10,227,25,21853
2015-01-10,-3,-7,0.0,9.8,2,68,11:24 PM,11:09 AM,08:19 AM,06:01 PM,-13,-10,-5,-10,21,1,52,0.0,1034,-3,10,279,15,21853
2015-01-11,4,-4,0.0,9.8,2,61,No moonrise,11:39 AM,08:19 AM,06:02 PM,-6,-3,1,-3,18,24,60,0.0,1037,4,10,175,11,21853
2015-01-12,9,3,0.0,4.9,2,54,12:18 AM,12:09 PM,08:19 AM,06:03 PM,4,2,5,2,18,94,92,19.6,1026,9,8,228,10,21853
2015-01-13,2,-1,0.0,9.9,1,47,01:15 AM,12:41 PM,08:19 AM,06:04 PM,-2,-5,1,-5,35,48,79,5.8,1031,2,10,60,24,21853
2015-01-14,2,-1,0.0,4.9,1,41,02:12 AM,01:16 PM,08:18 AM,06:05 PM,-0,-5,1,-5,30,92,92,18.1,1026,2,8,56,20,21853
