date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,4,-3,0.0,8.7,2,71,03:23 PM,04:52 AM,08:25 AM,05:52 PM,-12,-5,-0,-5,29,15,42,0.0,1022,4,10,243,16,21040
2015-01-02,6,-0,0.0,8.7,2,78,04:09 PM,05:51 AM,08:25 AM,05:53 PM,-5,-2,2,-2,23,20,62,0.0,1026,6,10,286,12,21040
2015-01-03,5,-1,0.0,5.2,1,85,05:00 PM,06:46 AM,08:25 AM,05:54 PM,-0,-1,3,-1,16,62,81,3.1,1029,5,8,71,9,21040
2015-01-04,14,5,0.0,5.2,3,92,05:53 PM,07:36 AM,08:25 AM,05:55 PM,8,6,9,6,31,79,93,4.6,1013,14,10,232,18,21040
2015-01-05,2,-4,0.0,7.0,1,99,06:47 PM,08:21 AM,08:25 AM,05:56 PM,-8,-6,0,-6,38,16,57,0.2,1025,2,9,298,25,21040
2015-01-06,-4,-7,4.7,3.5,1,95,07:44 PM,09:02 AM,08:25 AM,05:57 PM,-10,-9,-5,-9,13,64,73,5.5,1025,-4,6,237,9,21040
2015-01-07,-6,-12,0.0,8.7,1,88,08:39 PM,09:38 AM,08:25 AM,05:58 PM,-12,-16,-8,-16,35,31,73,0.0,1021,-6,9,295,22,21040
2015-01-08,-10,-14,0.0,8.7,2,81,09:36 PM,10:11 AM,08:25 AM,05:59 PM,-15,-20,-12,-20,28,15,77,0.0,1031,-10,10,251,17,21040
2015-01-09,-0,-7,0.0,9.8,1,74,10:30 PM,10:42 AM,08:25 AM,06:00 PM,-9,-11,-5,-11,30,36,69,0.0,1021,-0,10,252,18,21040
2015-01-10,-8,-13,0.0,9.8,2,68,11:26 PM,11:12 AM,08:25 AM,06:01 PM,-14,-16,-10,-16,21,1,75,0.0,1034,-8,10,277,13,21040
2015-01-11,1,-9,0.0,9.8,2,61,No moonrise,11:41 AM,08:25 AM,06:02 PM,-8,-8,-4,-8,19,29,74,0.0,1036,1,10,178,10,21040
2015-01-12,2,-0,0.0,4.9,1,54,12:21 AM,12:10 PM,08:25 AM,06:03 PM,-0,-3,1,-3,19,89,90,20.0,1026,2,7,181,11,21040
2015-01-13,-3,-6,0.0,9.8,2,47,01:18 AM,12:42 PM,08:24 AM,06:04 PM,-8,-10,-4,-10,29,27,73,0.0,1033,-3,10,151,19,21040
2015-01-14,-0,-6,0.3,4.9,1,41,02:16 AM,01:17 PM,08:24 AM,06:05 PM,-8,-8,-3,-8,18,85,68,0.3,1028,-0,9,64,13,21040
2015-01-15,2,-2,0.0,9.8,1,34,03:16 AM,01:56 PM,08:24 AM,06:06 PM,-7,-5,-1,-5,17,37,66,0.0,1020,2,10,292,11,21040
2015-01-16,5,-3,0.0,9.8,1,27,04:16 AM,02:40 PM,08:23 AM,06:07 PM,-5,-5,1,-5,33,17,65,0.0,1017,5,10,289,21,21040
2015-01-17,-0,-5,0.0,9.9,1,20,05:17 AM,03:32 PM,08:23 AM,06:08 PM,-12,-7,-2,-7,18,17,49,0.0,1027,-0,10,99,12,21040
2015-01-18,4,1,0.0,6.6,1,13,06:15 AM,04:30 PM,08:22 AM,06:09 PM,1,-1,2,-1,18,61,93,35.0,1014,4,7,219,9,21040
2015-01-19,6,0,0.0,8.3,1,7,07:11 AM,05:36 PM,08:22 AM,06:10 PM,-1,-2,2,-2,26,38,77,0.0,1014,6,10,275,15,21040
