date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,4,-2,0.0,8.7,2,71,03:27 PM,04:53 AM,08:26 AM,05:56 PM,-11,-4,1,-4,23,16,42,0.0,1022,4,10,240,14,20740
2015-01-02,7,0,0.0,8.7,2,78,04:13 PM,05:52 AM,08:27 AM,05:57 PM,-3,0,3,0,15,10,62,0.0,1026,7,10,299,9,20740
2015-01-03,6,1,0.0,3.5,1,85,05:03 PM,06:47 AM,08:27 AM,05:58 PM,1,1,4,1,14,66,81,1.2,1029,6,6,95,9,20740
2015-01-04,16,6,0.0,3.5,3,92,05:56 PM,07:38 AM,08:27 AM,05:59 PM,9,8,10,8,28,77,93,5.6,1013,16,8,229,17,20740
2015-01-05,3,-3,0.0,7.0,1,99,06:51 PM,08:23 AM,08:27 AM,05:59 PM,-7,-5,1,-5,32,13,57,0.7,1026,3,9,300,22,20740
2015-01-06,0,-5,5.6,8.2,1,95,07:47 PM,09:04 AM,08:27 AM,06:00 PM,-9,-7,-3,-7,12,63,71,6.6,1024,0,6,214,9,20740
2015-01-07,-6,-11,0.0,9.7,1,88,08:43 PM,09:40 AM,08:27 AM,06:01 PM,-12,-15,-7,-15,33,30,71,0.1,1022,-6,8,297,22,20740
2015-01-08,-7,-14,0.0,9.8,2,81,09:39 PM,10:13 AM,08:27 AM,06:02 PM,-16,-18,-11,-18,24,13,66,0.0,1032,-7,10,251,16,20740
2015-01-09,1,-6,0.0,9.8,1,74,10:33 PM,10:44 AM,08:26 AM,06:03 PM,-10,-10,-3,-10,28,33,60,0.0,1022,1,10,253,18,20740
2015-01-10,-1,-11,0.0,9.8,2,68,11:29 PM,11:14 AM,08:26 AM,06:04 PM,-14,-12,-7,-12,18,1,58,0.0,1034,-1,10,270,13,20740
2015-01-11,2,-7,0.0,9.8,2,61,No moonrise,11:44 AM,08:26 AM,06:05 PM,-8,-6,-2,-6,16,30,65,0.1,1036,2,10,178,10,20740
2015-01-12,3,0,0.0,4.9,1,54,12:24 AM,12:13 PM,08:26 AM,06:06 PM,-0,-2,2,-2,16,94,88,24.6,1026,3,7,191,9,20740
2015-01-13,-2,-5,0.6,9.8,2,47,01:21 AM,12:45 PM,08:26 AM,06:07 PM,-6,-8,-2,-8,24,32,77,0.7,1033,-2,9,108,16,20740
2015-01-14,-1,-5,1.7,4.9,1,41,02:18 AM,01:20 PM,08:25 AM,06:08 PM,-6,-7,-2,-7,14,85,76,2.0,1028,-1,6,149,11,20740
2015-01-15,3,-2,0.0,9.8,2,34,03:17 AM,01:59 PM,08:25 AM,06:09 PM,-4,-3,0,-3,13,12,76,0.0,1021,3,10,285,9,20740
2015-01-16,6,-1,0.0,9.9,1,27,04:17 AM,02:44 PM,08:25 AM,06:10 PM,-3,-3,2,-3,25,23,71,0.0,1018,6,10,237,16,20740
2015-01-17,1,-3,0.0,9.9,1,20,05:18 AM,03:36 PM,08:24 AM,06:11 PM,-9,-6,-1,-6,18,30,58,0.0,1027,1,10,111,13,20740
