date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,4,-2,0.0,8.7,2,71,03:21 PM,04:50 AM,08:23 AM,05:50 PM,-11,-5,0,-5,30,14,44,0.0,1022,4,10,243,17,21912
2015-01-02,6,-0,0.0,8.7,2,78,04:07 PM,05:49 AM,08:23 AM,05:51 PM,-4,-2,2,-2,22,26,63,0.0,1026,6,10,286,12,21912
2015-01-03,6,-0,0.0,3.5,1,85,04:57 PM,06:43 AM,08:23 AM,05:52 PM,0,-0,3,-0,16,64,81,1.4,1030,6,9,73,9,21912
2015-01-04,15,6,0.0,5.2,3,92,05:51 PM,07:34 AM,08:23 AM,05:53 PM,9,8,10,8,31,80,93,6.5,1013,15,8,229,18,21912
2015-01-05,2,-4,0.0,7.0,1,99,06:45 PM,08:19 AM,08:23 AM,05:54 PM,-7,-5,1,-5,38,16,56,0.1,1025,2,9,296,26,21912
2015-01-06,-4,-7,3.6,3.5,1,95,07:42 PM,09:00 AM,08:23 AM,05:55 PM,-10,-9,-5,-9,13,61,71,4.2,1025,-4,6,227,9,21912
2015-01-07,-6,-12,0.0,8.7,1,88,08:37 PM,09:36 AM,08:23 AM,05:56 PM,-12,-15,-7,-15,34,30,73,0.0,1021,-6,9,294,22,21912
2015-01-08,-9,-14,0.0,8.7,2,81,09:33 PM,10:09 AM,08:23 AM,05:57 PM,-15,-19,-11,-19,26,12,76,0.0,1031,-9,10,256,17,21912
2015-01-09,-0,-7,0.1,7.0,1,74,10:28 PM,10:40 AM,08:23 AM,05:58 PM,-9,-11,-4,-11,30,43,71,0.1,1021,-0,9,252,17,21912
2015-01-10,-7,-12,0.0,8.7,2,68,11:24 PM,11:10 AM,08:23 AM,05:59 PM,-13,-15,-9,-15,21,1,73,0.0,1034,-7,10,282,13,21912
2015-01-11,1,-8,0.0,9.8,1,61,No moonrise,11:39 AM,08:23 AM,06:00 PM,-9,-7,-3,-7,17,31,63,0.0,1037,1,10,187,10,21912
2015-01-12,2,-0,0.0,4.9,1,54,12:19 AM,12:08 PM,08:23 AM,06:01 PM,-1,-3,1,-3,17,86,88,25.5,1026,2,6,181,10,21912
2015-01-13,-2,-5,0.3,9.8,2,47,01:16 AM,12:40 PM,08:22 AM,06:02 PM,-8,-9,-3,-9,27,32,68,0.4,1033,-2,10,149,19,21912
2015-01-14,1,-5,0.4,4.9,1,41,02:14 AM,01:15 PM,08:22 AM,06:03 PM,-7,-8,-3,-8,21,81,69,0.6,1028,1,8,66,15,21912
