date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,0,-8,0.0,9.7,2,71,03:34 PM,05:04 AM,08:37 AM,06:03 PM,-17,-11,-4,-11,35,14,38,0.0,1022,0,10,264,24,21536
2015-01-02,3,-4,0.0,9.7,2,78,04:20 PM,06:03 AM,08:38 AM,06:04 PM,-7,-6,-2,-6,20,11,70,0.0,1027,3,10,276,13,21536
2015-01-03,1,-3,0.0,4.8,1,85,05:11 PM,06:58 AM,08:38 AM,06:05 PM,-2,-4,-0,-4,18,78,88,9.4,1026,1,7,139,11,21536
2015-01-04,12,1,0.0,9.7,2,92,06:04 PM,07:49 AM,08:38 AM,06:05 PM,6,4,8,4,39,59,90,9.4,1012,12,8,237,23,21536
2015-01-05,-6,-9,0.0,9.7,1,99,06:59 PM,08:33 AM,08:38 AM,06:06 PM,-14,-15,-6,-15,39,26,55,0.0,1028,-6,7,292,30,21536
2015-01-06,-4,-10,7.0,8.2,1,95,07:55 PM,09:14 AM,08:38 AM,06:07 PM,-11,-13,-7,-13,17,75,78,8.2,1024,-4,5,250,12,21536
2015-01-07,-11,-18,0.0,6.5,1,88,08:51 PM,09:50 AM,08:38 AM,06:08 PM,-17,-23,-13,-23,37,63,75,0.5,1025,-11,3,297,27,21536
2015-01-08,-10,-19,0.0,9.7,1,81,09:47 PM,10:23 AM,08:37 AM,06:09 PM,-18,-23,-14,-23,21,49,78,0.0,1031,-10,9,246,14,21536
2015-01-09,-6,-14,0.4,6.5,1,74,10:42 PM,10:54 AM,08:37 AM,06:10 PM,-12,-17,-9,-17,30,61,79,1.6,1021,-6,4,262,21,21536
2015-01-10,-9,-19,0.0,9.7,2,68,11:38 PM,11:24 AM,08:37 AM,06:11 PM,-17,-21,-14,-21,18,17,79,0.0,1035,-9,9,258,12,21536
2015-01-11,1,-12,0.0,8.2,1,61,No moonrise,11:53 AM,08:37 AM,06:12 PM,-11,-8,-5,-8,17,49,62,0.4,1034,1,10,189,9,21536
2015-01-12,6,-2,0.9,4.9,1,54,12:33 AM,12:22 PM,08:37 AM,06:13 PM,1,-2,1,-2,16,90,94,9.1,1026,6,6,215,9,21536
2015-01-13,-4,-8,0.2,9.8,1,47,01:31 AM,12:54 PM,08:36 AM,06:14 PM,-8,-11,-6,-11,15,41,85,0.2,1034,-4,9,138,11,21536
2015-01-14,-0,-8,0.0,4.9,1,41,02:28 AM,01:28 PM,08:36 AM,06:15 PM,-8,-7,-5,-7,8,81,74,0.0,1028,-0,10,181,6,21536
2015-01-15,1,-8,0.1,9.8,2,34,03:28 AM,02:07 PM,08:36 AM,06:16 PM,-8,-8,-4,-8,14,18,74,0.1,1021,1,10,270,9,21536
2015-01-16,0,-3,0.3,8.3,1,27,04:28 AM,02:52 PM,08:35 AM,06:17 PM,-5,-8,-2,-8,28,51,79,0.4,1019,0,9,291,19,21536
2015-01-17,3,-5,0.0,8.3,1,20,05:29 AM,03:43 PM,08:35 AM,06:18 PM,-5,-4,-2,-4,10,57,86,0.0,1024,3,8,117,6,21536
2015-01-18,4,-4,0.7,8.3,1,13,06:28 AM,04:42 PM,08:34 AM,06:20 PM,-1,-3,0,-3,16,53,91,0.8,1013,4,5,216,9,21536
2015-01-19,2,-2,0.6,9.9,1,7,07:24 AM,05:47 PM,08:34 AM,06:21 PM,-3,-5,-0,-5,20,62,85,0.7,1015,2,7,288,13,21536
2015-01-20,7,-3,0.7,9.9,1,0,08:15 AM,06:57 PM,08:33 AM,06:22 PM,-1,-1,0,-1,5,50,90,1.6,1015,7,4,233,3,21536
2015-01-21,3,-4,2.6,8.3,1,7,09:02 AM,08:09 PM,08:33 AM,06:23 PM,-1,-3,-1,-3,10,68,95,3.1,1019,3,3,183,6,21536
2015-01-22,1,-4,0.6,5.0,1,14,09:44 AM,09:21 PM,08:32 AM,06:24 PM,-3,-5,-1,-5,18,62,90,0.7,1026,1,6,293,12,21536
2015-01-23,3,-7,0.5,8.3,1,20,10:23 AM,10:32 PM,08:32 AM,06:25 PM,-3,-3,-2,-3,8,52,92,5.2,1023,3,5,179,5,21536
2015-01-24,1,-3,14.9,8.3,1,27,11:00 AM,11:42 PM,08:31 AM,06:26 PM,-2,-5,-1,-5,21,66,97,17.7,1005,1,6,227,13,21536
2015-01-25,3,-2,6.4,5.0,1,34,11:37 AM,No moonset,08:30 AM,06:28 PM,0,-2,1,-2,15,89,98,7.5,1009,3,4,188,9,21536
2015-01-26,-1,-4,14.5,5.0,1,41,12:14 PM,12:50 AM,08:30 AM,06:29 PM,-2,-4,-2,-4,9,100,99,17.1,1008,-1,2,139,6,21536
2015-01-27,-4,-9,3.1,5.0,1,48,12:53 PM,01:56 AM,08:29 AM,06:30 PM,-7,-13,-7,-13,22,75,95,3.6,1014,-4,4,305,15,21536
2015-01-28,-5,-12,0.0,10.0,1,54,01:35 PM,02:58 AM,08:28 AM,06:31 PM,-10,-14,-9,-14,15,8,93,0.0,1026,-5,8,291,9,21536
2015-01-29,-0,-11,5.6,5.0,1,61,02:19 PM,03:58 AM,08:27 AM,06:32 PM,-5,-7,-4,-7,14,78,91,7.0,1020,-0,6,166,8,21536
2015-01-30,-4,-12,2.6,6.7,1,68,03:08 PM,04:53 AM,08:26 AM,06:34 PM,-7,-13,-6,-13,31,73,91,3.2,1021,-4,4,306,21,21536
2015-01-31,-4,-13,0.1,10.1,1,75,03:59 PM,05:45 AM,08:25 AM,06:35 PM,-10,-15,-8,-15,20,12,87,0.1,1028,-4,9,286,13,21536
2015-02-01,3,-5,5.7,5.1,1,81,04:52 PM,06:31 AM,08:24 AM,06:36 PM,-2,-4,-1,-4,11,91,93,9.6,1019,3,5,186,7,21536
2015-02-02,2,-10,7.7,8.3,1,88,05:48 PM,07:13 AM,08:24 AM,06:37 PM,-4,-10,-4,-10,29,61,93,11.1,1007,2,5,257,20,21536
2015-02-03,-3,-12,0.0,10.2,1,95,06:43 PM,07:51 AM,08:23 AM,06:38 PM,-11,-13,-8,-13,14,21,84,0.0,1026,-3,10,263,9,21536
