origin_id;destination_id;entry_cost;network_cost;exit_cost;total_cost
Bella Vista;Bella Vista;0.0
Bella Vista;San Antonio de Itati;0.054470799712063735;1.005555295546798;0.03628475273959477;1.0963108479984565
Bella Vista;Corrientes;0.054470799712063735;0.9077048324237678;0.030538041502911253;0.9927136736387427
Bella Vista;Concepcion;0.054470799712063735;0.7490867397445287;0.044344418341996726;0.8479019577985891
Bella Vista;Curuzu Cuatia;0.054470799712063735;1.1578417817876776;0.013043633710993683;1.225356215210735
Bella Vista;Empedrado;0.054470799712063735;0.7254271201367585;0.024089193392238018;0.8039871132410602
Bella Vista;Esquina;0.054470799712063735;1.4497916832221664;0.07306215207499063;1.5773246350092207
Bella Vista;Alvear;0.054470799712063735;1.9203969119958924;0.06333877339356678;2.0382064851015227
Bella Vista;Caa Cati;0.054470799712063735;0.872790010206913;0.029152838794701923;0.9564136487136786
Bella Vista;Goya;0.054470799712063735;0.293678603627059;0.006937374917908766;0.3550867782570315
Bella Vista;Itati;
Bella Vista;Ituzaingo;0.054470799712063735;2.221940918135968;0.1139951889195061;2.390406906767538
Bella Vista;Santa Lucia;0.054470799712063735;0.21994957620468944;0.0316203964205029;0.3060407723372561
Bella Vista;Mburucuya;0.054470799712063735;0.5393699551837482;0.018546747711492784;0.6123875026073047
Bella Vista;Mercedes;0.054470799712063735;1.030087763581046;0.013034977708281822;1.0975935410013915
Bella Vista;Monte Caseros;0.054470799712063735;1.4053572098291753;0.043436585388421045;1.5032645949296601
Bella Vista;Paso de los Libres;0.054470799712063735;1.5954799669066158;0.04670775978752846;1.696658526406208
Bella Vista;Saladas;0.054470799712063735;0.27494905837345607;0.00999365107949903;0.33941350916501883
Bella Vista;San Cosme;0.054470799712063735;0.890815124741269;0.02988718181839342;0.9751731062717262
Bella Vista;San Luis del Palmar;0.054470799712063735;0.759567373001006;0.0472767290426213;0.8613149017556909
Bella Vista;La Cruz;0.054470799712063735;1.8519985569370216;0.004716441313145638;1.911185797962231
Bella Vista;San Miguel;0.054470799712063735;0.9345182711211674;0.024400684807480394;1.0133897556407114
Bella Vista;San Roque;0.054470799712063735;0.16709767431084643;0.04121788224444221;0.26278635626735236
Bella Vista;Santo Tome;0.054470799712063735;2.539685517713943;0.027707260857502938;2.62186357828351
Bella Vista;Sauce;0.054470799712063735;1.1397925226494952;0.02579341677988905;1.2200567391414479
San Antonio de Itati;Bella Vista;0.03628475273959477;1.005555295546798;0.054470799712063735;1.0963108479984565
San Antonio de Itati;San Antonio de Itati;0.0
San Antonio de Itati;Corrientes;0.03628475273959477;0.8415502935577418;0.030538041502911253;0.9083730878002478
San Antonio de Itati;Concepcion;0.03628475273959477;0.6450665437732046;0.044344418341996726;0.7256957148547961
San Antonio de Itati;Curuzu Cuatia;0.03628475273959477;2.0325323002279485;0.013043633710993683;2.081860686678537
San Antonio de Itati;Empedrado;0.03628475273959477;0.7792873810069753;0.024089193392238018;0.839661327138808
San Antonio de Itati;Esquina;0.03628475273959477;2.3244822016624376;0.07306215207499063;2.433829106477023
San Antonio de Itati;Alvear;0.03628475273959477;2.7950874304361633;0.06333877339356678;2.894710956569325
San Antonio de Itati;Caa Cati;0.03628475273959477;0.13276528533988496;0.029152838794701923;0.19820287687418167
San Antonio de Itati;Goya;0.03628475273959477;1.299233899173857;0.006937374917908766;1.3424560268313606
San Antonio de Itati;Itati;
San Antonio de Itati;Ituzaingo;0.03628475273959477;3.0966314365762395;0.1139951889195061;3.2469113782353403
San Antonio de Itati;Santa Lucia;0.03628475273959477;1.2255048717514874;0.0316203964205029;1.293410020911585
San Antonio de Itati;Mburucuya;0.03628475273959477;0.4661853403630498;0.018546747711492784;0.5210168408141373
San Antonio de Itati;Mercedes;0.03628475273959477;1.9047782820213166;0.013034977708281822;1.9540980124691933
San Antonio de Itati;Monte Caseros;0.03628475273959477;2.2800477282694462;0.043436585388421045;2.359769066397462
San Antonio de Itati;Paso de los Libres;0.03628475273959477;2.470170485346887;0.04670775978752846;2.5531629978740105
San Antonio de Itati;Saladas;0.03628475273959477;0.7306062371733419;0.00999365107949903;0.7768846409924357
San Antonio de Itati;San Cosme;0.03628475273959477;0.7074030439293463;0.02988718181839342;0.7735749784873345
San Antonio de Itati;San Luis del Palmar;0.03628475273959477;0.69341283413498;0.0472767290426213;0.776974315917196
San Antonio de Itati;La Cruz;0.03628475273959477;2.7266890753772928;0.004716441313145638;2.7676902694300334
San Antonio de Itati;San Miguel;0.03628475273959477;0.19449354625413925;0.024400684807480394;0.2551789838012144
San Antonio de Itati;San Roque;0.03628475273959477;1.0417881927511172;0.04121788224444221;1.1192908277351543
San Antonio de Itati;Santo Tome;0.03628475273959477;3.414376036154214;0.027707260857502938;3.478368049751312
San Antonio de Itati;Sauce;0.03628475273959477;2.014483041089766;0.02579341677988905;2.07656121060925
Corrientes;Bella Vista;0.030538041502911253;0.9077048324237678;0.054470799712063735;0.9927136736387427
Corrientes;San Antonio de Itati;0.030538041502911253;0.8415502935577418;0.03628475273959477;0.9083730878002478
Corrientes;Corrientes;0.0
Corrientes;Concepcion;0.030538041502911253;0.7050965374917152;0.044344418341996726;0.7799789973366232
Corrientes;Curuzu Cuatia;0.030538041502911253;1.9346818371049186;0.013043633710993683;1.9782635123188235
Corrientes;Empedrado;0.030538041502911253;0.36245532201231045;0.024089193392238018;0.4170825569074597
Corrientes;Esquina;0.030538041502911253;2.2266317385394077;0.07306215207499063;2.3302319321173095
Corrientes;Alvear;0.030538041502911253;2.697236967313133;0.06333877339356678;2.791113782209611
